date,old_state,new_state
2025-10-10,HOLD,CASH
2025-10-11,HOLD,CASH
2025-10-12,HOLD,CASH
2025-10-13,HOLD,CASH
2025-10-14,HOLD,CASH
2025-10-15,HOLD,CASH
2025-10-16,HOLD,CASH
2025-10-17,HOLD,CASH
2025-10-18,HOLD,CASH
2025-10-19,HOLD,CASH
2026-01-20,HOLD,CASH
2026-01-21,HOLD,CASH
2026-01-22,HOLD,CASH
2026-01-23,HOLD,CASH
2026-01-24,HOLD,CASH
2026-01-25,HOLD,CASH
2026-01-26,HOLD,CASH
2026-01-27,HOLD,CASH
2026-01-28,HOLD,CASH
2026-01-29,HOLD,CASH
2026-01-30,HOLD,CASH
2026-01-31,HOLD,CASH
2026-02-18,HOLD,CASH
